Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	-227.88086	41.888245	-152.35446	-272.447	-382.40546	17.36053	-350.4972	-421.87686	1000.0	1000.0	5000	8.341569	7.093451	38.022972	-3.934941	-9.543153	0.57324004	15.227468729019165
2	-257.65555	73.87325	-175.03209	-384.51105	-401.62283	37.742775	-356.55472	-475.52716	1000.0	1000.0	10000	40.050808	15.811563	92.105484	7.0995483	-42.437042	1.5838666	30.71423888206482
3	-573.4188	167.35684	-391.3986	-771.746	-528.9015	69.69479	-389.97928	-665.13794	1000.0	1000.0	15000	75.883	16.660355	136.80775	38.250515	-78.25202	3.132482	48.3566734790802
4	-516.8148	180.95003	-198.39462	-743.15564	-694.6015	99.016304	-516.9258	-837.73065	1000.0	1000.0	20000	95.23847	24.855955	150.98073	-6.6274743	-96.89319	3.5417032	67.0524353981018
5	-410.28558	197.96565	-210.74164	-752.2418	-243.78809	59.90089	-164.25354	-345.9073	1000.0	1000.0	25000	91.39593	18.977528	133.72728	8.049372	-92.21562	2.3795605	86.07370138168335
6	-116.379295	233.53816	261.90134	-357.93863	137.82515	32.8488	195.88892	91.5748	1000.0	1000.0	30000	77.8511	12.288233	108.354294	29.524078	-78.465416	2.0303383	103.78200578689575
7	-63.770153	277.31296	232.83362	-522.5018	-56.289692	184.0588	276.10788	-416.6542	1000.0	1000.0	35000	67.945045	8.751976	95.10172	43.79629	-68.61786	2.0147567	125.01562809944153
8	203.46776	265.3558	558.0404	-119.252	436.10068	345.77094	737.217	-381.6018	1000.0	1000.0	40000	62.45186	8.35825	88.68894	39.193104	-63.16015	2.109504	145.4714744091034
9	552.7138	336.13004	837.0158	-102.11884	766.7559	254.81961	994.78424	56.062473	1000.0	1000.0	45000	60.20319	9.673832	91.06153	35.996128	-60.952087	2.286423	163.55451273918152
10	609.7978	317.27478	964.9352	56.47484	964.73206	279.5626	1141.2523	183.3377	1000.0	1000.0	50000	62.57297	11.458039	98.748375	36.36803	-63.402187	2.6505888	179.99918937683105
11	923.2839	340.21957	1258.804	268.66702	615.04755	1087.8416	1593.0339	-1450.4122	1000.0	1000.0	55000	67.25809	14.267171	112.224144	37.29789	-68.1311	3.1169698	197.97163152694702
12	1163.592	473.9322	1669.8696	370.67804	901.78955	677.35645	1658.2384	-148.25856	1000.0	1000.0	60000	75.3981	18.047583	130.74435	33.85539	-76.40116	3.9576735	218.68579387664795
13	1267.4221	798.5041	1957.5537	-297.20398	1023.8957	829.88434	1951.9531	-263.79645	1000.0	1000.0	65000	87.09632	21.996496	150.40903	31.870369	-88.23549	4.9933295	236.6502275466919
14	963.54944	770.413	1701.7585	-520.7842	1400.1946	89.859604	1529.2035	1271.336	1000.0	1000.0	70000	99.25016	26.115305	166.3911	25.769117	-100.47997	5.8114552	257.01998925209045
15	1556.9163	230.36977	1865.2216	1265.1432	1751.4863	130.76524	1986.4069	1538.9624	1000.0	1000.0	75000	112.60088	28.954546	180.29292	22.196878	-113.85977	6.311431	277.78190660476685
16	1916.4222	214.45905	2168.9023	1603.7537	1930.8875	721.00037	2336.331	-192.57889	1000.0	1000.0	80000	126.30518	31.523226	201.7803	21.21624	-127.62519	6.801529	303.2239193916321
17	1679.7136	677.83215	2287.3281	360.69885	2344.91	302.68634	2740.395	1595.185	1000.0	1000.0	85000	140.1792	35.25091	218.71469	23.70229	-141.57738	7.675261	324.7688732147217
18	2507.1309	144.03267	2693.1326	2370.2493	2091.6104	582.76984	2573.3433	424.37082	1000.0	1000.0	90000	155.2519	39.09659	247.15616	25.15631	-156.73445	8.703706	345.15248942375183
19	2306.524	115.79094	2509.02	2197.3652	2735.2778	100.219	2914.4956	2568.7983	1000.0	1000.0	95000	171.61961	41.486763	265.57422	34.48525	-173.18663	9.625122	364.53482031822205
20	2563.2036	146.116	2782.0542	2345.7988	2465.6033	540.3324	3022.4968	1281.496	1000.0	1000.0	100000	187.50902	44.125065	284.8979	45.00022	-189.093	10.588764	383.951003074646
21	2783.5022	122.011116	2962.2188	2599.488	2886.2817	331.65424	3294.4421	1993.0233	1000.0	1000.0	105000	203.01143	46.938187	301.40515	55.888737	-204.66382	11.214806	400.5358202457428
22	2973.4185	243.28322	3337.1106	2715.125	2849.4436	273.42032	3156.4614	2162.281	1000.0	1000.0	110000	218.4651	48.93151	322.61908	65.533585	-220.16592	11.39754	417.0375406742096
23	2900.7935	206.39017	3187.1865	2619.923	2743.261	928.23914	3354.5173	44.685318	1000.0	1000.0	115000	233.26721	50.37992	335.10056	71.01572	-234.979	11.616049	441.93743562698364
24	3060.0864	131.21245	3208.149	2883.0413	2646.6956	1059.0718	3466.9146	333.4306	1000.0	1000.0	120000	246.58998	51.955376	350.68033	77.58198	-248.28662	11.846855	460.98223543167114
