Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
1	1.1929204	6.128789	34.359024	-11.181144	21.238298	5000	41.622883	31.76014	128.90613	-58.97123	-48.5436	9.747255	41.357813119888306
2	78.19206	211.79231	1018.12555	-117.01876	160.25807	10000	136.29607	34.182404	226.19614	-90.22271	-144.84697	40.50596	89.15664792060852
3	84.040504	108.00485	421.14188	-92.09469	144.55882	15000	183.90059	40.149357	303.1377	-103.35653	-191.51642	63.202377	132.10726928710938
4	26.161768	61.74466	206.77737	-60.741867	100.3	20000	240.76587	49.423622	427.04718	-122.22639	-249.1165	125.01328	173.58054494857788
5	67.12434	116.8519	425.64462	-83.38374	142.11429	25000	280.8823	59.89919	555.0853	-141.63794	-289.21606	153.73792	214.79666471481323
6	60.407906	118.54605	427.73575	-71.951324	137.62163	30000	313.89252	73.11513	633.74896	-247.14917	-322.3718	186.96156	256.9627070426941
7	81.68815	96.526764	349.83496	-72.50358	114.48837	35000	349.1271	88.41041	773.42175	-774.13184	-358.09894	243.22415	297.8577744960785
8	91.68271	93.92143	405.44904	-61.414608	144.11429	40000	387.0746	101.31058	841.55865	-208.65573	-396.7349	305.55835	339.81469345092773
9	107.21557	93.779045	340.83078	-12.801307	97.26923	45000	433.4603	111.78874	934.8651	-223.00021	-444.16202	392.80154	383.4030077457428
10	62.348263	104.1773	314.246	-165.98454	106.14893	50000	477.89252	120.89048	961.5862	-259.53067	-489.08618	466.36218	424.94540667533875
